"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.751008938E0,-4.908113554E-2,4.201824069E-1,9.459490776E0,9.468945451E0
2.761069557E0,-1.723825186E-1,5.374982953E-1,1.046505547E1,1.048026746E1
2.770958366E0,-5.506663769E-2,6.991068721E-1,9.829395294E0,9.854379463E0
2.780904271E0,-4.189852998E-2,5.099649429E-1,8.834604263E0,8.849409710E0
2.791025723E0,2.274491638E-2,6.380547285E-1,8.938752174E0,8.961524513E0
2.801046449E0,1.472434103E-1,7.781155705E-1,9.651026726E0,9.683463292E0
2.810987812E0,8.259996027E-2,7.541735172E-1,9.847352028E0,9.876534939E0
2.821111494E0,-1.256955862E-1,7.266402245E-1,9.282320023E0,9.311566485E0
2.830996835E0,-1.412578970E-1,5.374982953E-1,9.144653320E0,9.161525122E0
2.840943505E0,-1.663970202E-1,6.153098345E-1,9.926360130E0,9.946804492E0
2.850986840E0,3.591302549E-3,4.560954273E-1,9.879673004E0,9.890195883E0
2.860957008E0,3.950432688E-2,1.197100878E-1,9.761159897E0,9.761973859E0
2.870988092E0,3.950432688E-2,-1.089361757E-1,9.737217903E0,9.737907382E0
2.881032634E0,-2.406172752E-1,-1.532289088E-1,1.008677197E1,1.009080495E1
2.890960405E0,-5.303156972E-1,3.926490843E-1,1.010472870E1,1.012625055E1
2.901002790E0,-2.130839527E-1,7.326257229E-1,1.024478912E1,1.027316161E1
2.911011483E0,4.788403399E-3,9.301473498E-1,1.046266174E1,1.050392725E1
2.921024329E0,1.209071875E-1,8.427590132E-1,9.597157478E0,9.634847843E0
2.930976252E0,1.903390288E-1,6.643909812E-1,9.534908295E0,9.559922620E0
2.940969214E0,1.819593310E-1,7.098808289E-1,1.094629002E1,1.097079328E1
2.950967695E0,1.077390742E-2,7.948749661E-1,1.071165848E1,1.074111585E1
2.960965935E0,-6.703764945E-2,5.817909837E-1,9.350554466E0,9.368876327E0
2.970950555E0,2.154781483E-2,4.070143029E-2,9.111134529E0,9.111250920E0
2.980929865E0,-5.985504016E-3,7.541735470E-2,9.819818497E0,9.820109924E0
2.990961520E0,1.556231081E-2,-5.386953801E-2,9.649829865E0,9.649992773E0
3.000930348E0,-1.221042871E-1,4.369418025E-1,1.045667553E1,1.046651283E1
3.011152262E0,-2.394201756E-1,7.972691655E-1,1.055364132E1,1.058642079E1
3.021011719E0,-2.166752517E-1,6.189011335E-1,1.000297451E1,1.002444441E1
3.030928447E0,-1.915361285E-1,7.984662652E-1,1.057040024E1,1.060224484E1
3.040905811E0,-2.932897210E-1,9.636662006E-1,1.066616821E1,1.071362757E1
3.050940493E0,-1.077390742E-2,7.589619160E-1,1.088882923E1,1.091525269E1
3.061037334E0,6.344634295E-2,5.351040959E-1,1.043393135E1,1.044783639E1
3.070958755E0,-3.351882473E-2,6.416460276E-1,9.830592155E0,9.851567148E0
3.081399965E0,8.379705995E-2,7.900865376E-2,9.609128952E0,9.609819121E0
3.091160070E0,-5.985504016E-3,4.620809257E-1,1.006402683E1,1.007463105E1
3.101025123E0,-2.154781520E-1,2.801215947E-1,1.013465595E1,1.014081605E1
3.110923149E0,-2.896983922E-1,5.195417404E-1,1.014303589E1,1.016046386E1
3.120880162E0,-2.202665508E-1,7.218518257E-1,9.958682060E0,9.987238647E0
3.130916669E0,-4.189852998E-2,4.513070285E-1,9.890447617E0,9.900827621E0
3.140969422E0,-1.053448766E-1,7.721300721E-1,1.050336266E1,1.053223193E1
3.150905799E0,1.364694983E-1,3.172317147E-1,1.029267311E1,1.029846492E1
3.160903987E0,8.499415964E-2,4.201824069E-1,1.010712242E1,1.011620981E1
3.170900581E0,-4.668693244E-2,3.711012602E-1,9.664195061E0,9.671430193E0
3.180918378E0,-5.267243832E-2,4.129997790E-1,9.683348656E0,9.692295104E0
3.190903277E0,-1.891419291E-1,5.650315881E-1,1.050455952E1,1.052144505E1
3.200909226E0,-1.891419291E-1,6.356605291E-1,1.029985619E1,1.032118581E1
3.210879701E0,-2.406172752E-1,7.422025204E-1,9.786299706E0,9.817353166E0
3.220908938E0,-1.675941199E-1,7.074866295E-1,9.964667320E0,9.991157086E0
3.230936557E0,-1.256955862E-1,8.104372621E-1,1.057878017E1,1.061052298E1
3.240897366E0,-2.741360962E-1,7.625532150E-1,1.054047298E1,1.057157551E1
3.251006771E0,-4.788403213E-2,4.824316502E-1,9.902418137E0,9.914278498E0
3.260957973E0,-9.816227108E-2,3.124433160E-1,9.610325813E0,9.615904476E0
